SOP_NI_Variance,Reseller
1717,0
12,0
0.74,0
0,0
18,0
1.9,0
0.14,0
22,0
33,0
12,0
0,NA
50,0
0,0
0,NA
287,0
1,0
7,NA
33,0
22835,0
-1,0
-1,0
667,0
1.9,0
0.97,NA
45,0
15,0
-1,0
365,0
566,0
0,NA
32,0
-1,0
4.2,NA
2.6,0
-1,0
1.1,0
0.67,0
0.091,0
2.6,0
330,0
24,0
0.38,0
0.16,0
32,0
7.8,0
0.54,0
29,0
1.6,NA
36,0
-1,0
2.4,NA
42,0
0.25,0
5.5,0
0.45,0
4.6,0
193,NA
32,0
162,0
2503,0
0.72,0
105,0
512,NA
2.9,NA
2615,NA
386,0
7,0
21,0
964,0
0.2,0
-1,0
3.3,0
275406,NA
4.7,0
3.8,0
14,0
41,0
4.6,0
75,0
6.4,0
0.89,0
0.62,0
1353,0
162,NA
230,0
306,NA
8.3,NA
162,0
13,0
15,0
2.9,0
41,0
2243,0
0.28,NA
1.1,0
292,0
2.8,NA
0.49,0
16,0
-1,0
41,NA
1367,0
29,0
169,0
-1,0
803,0
0.31,NA
0,0
95,0
115,0
89519,0
15069,0
91,0
2.5,0
0.018,0
0.3,0
471,0
150,0
2038,0
209,NA
3.5,NA
475,0
16,NA
2606,0
0.24,0
91,0
0,NA
20,0
29,0
43,0
478,0
22,0
24,0
0,0
21,0
41,0
170,NA
2615,0
65,0
16,NA
264,0
384,0
-1,NA
4199,0
118,0
0.47,NA
0,0
223,0
16,NA
204,0
0.25,0
306,0
0,0
63,0
4.9,NA
46,NA
282,0
0.24,0
0.24,NA
0,0
16,0
5.4,0
14,0
127,0
0.022,0
0.65,0
0,0
1.9,NA
0,0
34,0
3.2,0
0.46,NA
206,0
9.1,0
0.083,NA
499,NA
1,0
15,0
315,0
1.3,0
1.4,NA
0,NA
11,0
3.4,0
46,0
4.9,0
131,0
0,0
62,0
10,0
10,NA
1.1,0
280,0
615,0
121,0
0.73,0
0.14,0
1.5,0
0.18,0
0,NA
263,0
0.2,0
2,NA
15,0
0,0
1.1,0
-1,0
13,0
786,0
566,NA
-1,0
0.5,0
11,0
61,0
0.057,0
0.14,0
413,0
-1,0
0,NA
7.5,NA
141,0
140,0
0.26,0
1.3,0
3.8,NA
115,0
0.86,0
0.22,0
0.85,0
0.19,0
0.12,0
58,NA
0,0
8.2,0
32,0
198,NA
-1,0
9.5,0
-1,0
2.9,NA
0,NA
4.1,0
5589,0
4.5,0
0.87,0
9.5,NA
2.9,0
19,NA
0.37,0
46,0
47,0
0.27,0
45,0
1.5,0
1.4,0
0.7,0
0,NA
2.3,0
0,0
0,0
0.2,NA
790,0
7.5,0
15,NA
28,0
0.071,NA
2.8,0
12,0
1.2,0
0.41,0
84,0
478,0
0.7,0
-1,0
80,0
2777,0
27,0
3.7,0
10,0
5.5,0
389,0
3.5,NA
136,0
375,0
5.1,NA
22835,NA
92,0
131,0
82,0
-1,0
12,0
182,NA
16,0
1.8,0
3772,NA
173,0
34,NA
7.7,NA
87,0
1.6,0
31,0
66,NA
0.25,0
1384,0
10,0
0,0
286,0
16,0
0.14,0
0.055,0
1592,NA
420,0
16,0
0.79,NA
1.8,0
93,0
6.1,0
0.28,0
0.4,0
44,0
46,0
1335,0
11,0
10,0
1.1,NA
0,0
33,0
384,NA
137,0
33,0
0.46,0
1645,0
142,0
20,0
11,0
0.048,0
434,0
7.8,0
28,0
2.7,0
5.9,0
-1,0
43,NA
24,NA
478,0
15,0
47,0
5.7,0
1.6,NA
