SOP_BU_A,SOP_BU_B,SOP_BU_C,Reseller
65,-1,-1,0
-1,18,-1,0
11,-1,2,0
-1,9,-1,0
149,40,2,0
-1,1,34,0
9,-1,162,0
4,-1,6,0
65,11,-1,0
-1,6,-1,0
4,5,3,NA
294,82,13,0
-1,-1,15,0
5,-1,-1,NA
694,-1,-1,0
5,-1,4,0
26,33,-1,NA
13,16,40,0
74,24,14,0
1,-1,-1,0
-1,-1,1,0
171,54,89,0
2,12,2,0
-1,6,-1,NA
-1,188,-1,0
-1,38,-1,0
-1,1,-1,0
17,28,1,0
139,145,11,0
-1,4,-1,NA
478,14,175,0
-1,1,-1,0
9,2,92,NA
-1,13,50,0
-1,1,-1,0
-1,-1,11,0
-1,6,-1,0
-1,-1,11,0
8,-1,115,0
-1,-1,1993,0
565,-1,-1,0
-1,-1,14,0
4,-1,36,0
2,-1,-1,0
3,-1,138,0
11,-1,9,0
132,12,-1,0
5,2,-1,NA
87,11,-1,0
-1,1,-1,0
9,7,-1,NA
-1,-1,210,0
-1,-1,4,0
-1,-1,1624,0
-1,12,-1,0
129,19,76,0
262,144,20,NA
150,80,46,0
13,22,-1,0
451,116,817,0
80,14,-1,0
654,-1,-1,0
24,18,1,NA
-1,-1,159,NA
1058,277,7,NA
-1,-1,1018,0
19,4,-1,0
-1,-1,424,0
128,177,7,0
-1,-1,60,0
1,-1,-1,0
36,9,47,0
21,25,-1,NA
37,43,2,0
4,1,11,0
63,26,-1,0
-1,-1,432,0
20,-1,-1,0
28,62,6,0
-1,-1,10,0
1,17,12,0
-1,10,-1,0
345,45,132,0
93,14,190,NA
62,5,5,0
-1,-1,113,NA
10,-1,-1,NA
13,22,-1,0
268,63,-1,0
-1,38,-1,0
4,2,26,0
-1,-1,432,0
66,36,8,0
-1,9,-1,NA
-1,8,-1,0
4843,1591,2247,0
49,-1,4,NA
22,4,1,0
8,-1,171,0
-1,1,-1,0
75,-1,-1,NA
232,73,250,0
132,12,-1,0
2260,116,281,0
1,-1,-1,0
1460,218,622,0
13,-1,-1,NA
-1,-1,3,0
11,-1,-1,0
33,2,17,0
1182,453,416,0
49,16,1,0
131,47,7,0
379,79,231,0
14,1,42,0
-1,-1,6,0
688,183,140,0
-1,-1,1241,0
-1,-1,292,0
47,5,45,NA
42,2,146,NA
199,108,121,0
-1,-1,2094,NA
162,11,119,0
-1,9,20,0
41,13,28,0
-1,-1,9,NA
27,18,3,0
2647,150,-1,0
-1,2,1,0
867,565,389,0
21,6,5,0
2,-1,-1,0
7,-1,-1,0
-1,-1,563,0
101,39,80,0
794,136,4,NA
471,108,29,0
38,24,6,0
75,4,10,NA
302,177,131,0
71,25,1,0
1,-1,-1,NA
35,25,1,0
310,70,139,0
119,4,-1,NA
4,-1,-1,0
59,12,-1,0
8,-1,171,NA
804,160,71,0
1,2,1,0
-1,-1,113,0
-1,-1,19,0
87,4,119,0
5,3,66,NA
-1,-1,18,NA
622,13,444,0
7,-1,35,0
-1,-1,68,NA
-1,4,-1,0
-1,8,2,0
-1,170,-1,0
104,5,125,0
384,418,8,0
-1,46,-1,0
30,-1,29,0
-1,-1,2,0
-1,1,34,NA
-1,5,-1,0
19,-1,-1,0
2,3,-1,0
5,12,76,NA
7,2,-1,0
27,5,-1,0
-1,12,-1,NA
147,84,27,NA
16,-1,23,0
15,-1,-1,0
22,11,-1,0
2,1,-1,0
27,4,3,NA
-1,5,-1,NA
196,15,216,0
-1,40,-1,0
-1,-1,18,0
-1,10,-1,0
871,272,156,0
3,-1,-1,0
79,24,-1,0
330,20,295,0
21,-1,6,NA
-1,35,3,0
