SOP_Total_Num_Items,Reseller
1329,0
54,0
27,0
9,0
619,0
65,0
147,0
26,0
477,0
21,0
0,NA
1330,0
15,0
5,NA
4999,0
13,0
112,NA
136,0
2615,0
1,0
1,0
1807,0
40,0
13,NA
913,0
148,0
1,0
440,0
2194,0
4,NA
1758,0
1,0
155,NA
99,0
8,0
23,0
8,0
12,0
217,0
11842,0
1910,0
15,0
32,0
12,0
266,0
26,0
656,0
9,NA
239,0
1,0
30,NA
1054,0
5,0
3040,0
19,0
402,0
1767,NA
1962,0
154,0
16600,0
113,0
4041,0
259,NA
213,NA
12840,NA
5409,0
70,0
1492,0
1941,0
56,0
1,0
291,0
5342,NA
169,0
58,0
316,0
1061,0
49,0
545,0
30,0
52,0
18,0
4423,0
884,NA
769,0
2937,NA
36,NA
154,0
1066,0
148,0
43,0
1061,0
1229,0
5,NA
13,0
71314,0
153,NA
42,0
715,0
2,0
243,NA
3889,0
656,0
17743,0
1,0
31442,0
15,NA
0,0
100,0
430,0
113559,0
1203,0
960,0
1142,0
58,0
9,0
6729,0
8204,0
4127,0
677,NA
303,NA
2863,0
6030,NA
4352,0
18,0
796,0
9,NA
173,0
10932,0
21,0
9404,0
125,0
13,0
7,0
1809,0
919,0
6882,NA
6085,0
334,0
475,NA
5152,0
668,0
1,NA
1079,0
4289,0
136,NA
4,0
712,0
715,NA
6590,0
5,0
2937,0
19,0
905,0
99,NA
60,NA
5067,0
35,0
80,NA
4,0
20,0
315,0
746,0
2035,0
47,0
96,0
2,0
65,NA
5,0
229,0
24,0
107,NA
84,0
90,0
11,NA
1753,NA
57,0
49,0
382,0
7,0
56,NA
5,NA
1166,0
82,0
60,0
37,0
10508,0
3,0
720,0
1573,0
100,NA
69,0
40154,0
4240,0
1530,0
487,0
6,0
36,0
12,0
2,NA
223,0
6,0
6,NA
49,0
3,0
228,0
1,0
21,0
9213,0
2194,NA
1,0
19,0
16,0
6350,0
36,0
6,0
11222,0
1,0
20,NA
269,NA
313,0
1328,0
8,0
117,0
135,NA
25803,0
90,0
14,0
50,0
7,0
7,0
258,NA
15,0
1127,0
1962,0
2034,NA
1,0
512,0
1,0
43,NA
3,NA
160,0
564,0
238,0
17,0
167,NA
60,0
421,NA
11,0
43,0
85,0
6,0
101,0
59,0
100,0
42,0
3,NA
628,0
11,0
4,0
11,NA
10659,0
95,0
148,NA
1776,0
15,NA
27,0
971,0
255,0
60,0
2001,0
9404,0
42,0
1,0
6780,0
2435,0
180,0
463,0
165,0
3040,0
14614,0
225,NA
48777,0
2140,0
348,NA
2615,NA
1479,0
41950,0
13888,0
1,0
252,0
2990,NA
123,0
522,0
991,NA
25898,0
2871,NA
5251,NA
1816,0
9,0
2975,0
69,NA
3,0
23200,0
111,0
3,0
317,0
213,0
6,0
65,0
1136,NA
10953,0
63,0
14,NA
522,0
1693,0
44,0
5,0
6,0
2509,0
2696,0
10295,0
449,0
508,0
92,NA
7,0
13673,0
668,NA
1426,0
1599,0
13,0
99373,0
3690,0
281,0
32,0
22,0
18350,0
24,0
1106,0
676,0
1362,0
1,0
21,NA
13,NA
9404,0
395,0
3944,0
70,0
63,NA
1141,0
9,0
225,0
325,0
49,0
24071,NA
87,0
6729,0
551,0
617,0
60,0
2924,0
37446,NA
2907,0
3126,0
38646,0
181,0
173,0
246,0
683,NA
166,0
4,NA
237,NA
7,NA
164,0
57,0
3,0
11222,0
89,0
17437,0
534,NA
31335,1
2,0
62,0
29,0
401,0
317,NA
111,0
0,0
168,NA
54,NA
148,0
9,0
5584,0
4,0
2,NA
202,NA
12,0
623,NA
462,0
44420,0
9465,0
53478,0
16,NA
17399,0
22,0
208,0
362,0
11,NA
3,0
6707,0
25,0
25,0
926,NA
1753,NA
27,0
15,0
54,0
2944,0
399,NA
266,0
4719,NA
6,0
2696,NA
43,0
867,0
31335,0
31,0
449,0
1962,0
955,0
1,0
934,0
151,0
2907,0
26,0
222,0
2,0
53,0
1,NA
84,0
1064,0
19,0
90,0
31,NA
27676,1
299,0
2,0
1341,0
270,0
1,0
17,NA
4532,0
1,0
6421,0
84,0
732,0
254,0
128,0
6,0
12,0
8,0
4353,0
3,NA
61,0
2435,NA
8,0
487,0
2312,NA
81,0
3,0
7,0
11,0
72,0
24,0
347,0
8,0
3,0
32,0
259,NA
2944,0
5994,0
3,NA
105,0
2,0
1,0
320,NA
38,NA
3,0
0,0
6421,0
76,0
59,0
