SOP_Order_Num,Reseller
65,0
18,0
13,0
9,0
191,0
35,0
171,0
10,0
76,0
6,0
12,NA
389,0
15,0
5,NA
694,0
9,0
59,NA
69,0
112,0
1,0
1,0
314,0
16,0
6,NA
188,0
38,0
1,0
46,0
295,0
4,NA
667,0
1,0
103,NA
63,0
1,0
11,0
6,0
11,0
123,0
1993,0
565,0
14,0
40,0
2,0
141,0
20,0
144,0
7,NA
98,0
1,0
16,NA
123,0
4,0
1624,0
12,0
224,0
426,NA
276,0
35,0
1384,0
94,0
654,0
43,NA
159,NA
1342,NA
1018,0
23,0
424,0
312,0
60,0
1,0
92,0
46,NA
82,0
16,0
89,0
432,0
20,0
96,0
10,0
30,0
10,0
522,0
297,NA
72,0
113,NA
10,NA
148,0
331,0
268,0
32,0
33,0
110,0
9,NA
8,0
314,0
53,NA
27,0
179,0
1,0
75,NA
555,0
28,0
2657,0
1,0
2300,0
13,NA
3,0
11,0
52,0
2051,0
66,0
185,0
689,0
57,0
6,0
1011,0
1241,0
292,0
97,NA
190,NA
428,0
2094,NA
292,0
29,0
82,0
9,NA
48,0
2797,0
3,0
1821,0
32,0
2,0
7,0
563,0
220,0
934,NA
608,0
68,0
89,NA
46,0
97,0
1,NA
61,0
519,0
123,NA
4,0
71,0
66,NA
32,0
4,0
368,0
19,0
210,0
74,NA
18,NA
1079,0
42,0
68,NA
4,0
10,0
170,0
234,0
810,0
46,0
59,0
2,0
7,NA
5,0
19,0
5,0
93,NA
9,0
32,0
12,NA
258,NA
39,0
15,0
33,0
3,0
34,NA
144,NA
427,0
40,0
17,0
10,0
1299,0
3,0
103,0
645,0
27,NA
38,0
667,0
374,0
438,0
400,0
7,0
15,0
10,0
2,NA
21,0
5,0
2,NA
3,0
3,0
167,0
1,0
7,0
877,0
545,NA
1,0
15,0
13,0
1328,0
34,0
7,0
9,0
1,0
20,NA
117,NA
51,0
241,0
14,0
78,0
51,NA
608,0
60,0
11,0
30,0
9,0
8,0
62,NA
15,0
667,0
169,0
229,NA
1,0
343,0
1,0
9,NA
3,NA
77,0
28,0
102,0
11,0
58,NA
27,0
105,NA
17,0
7,0
16,0
10,0
23,0
35,0
80,0
28,0
3,NA
110,0
11,0
2,0
11,NA
1275,0
55,0
13,NA
905,0
14,NA
12,0
441,0
207,0
69,0
689,0
40,0
5,0
1,0
1243,0
2797,0
39,0
426,0
92,0
251,0
1511,0
112,NA
268,0
503,0
149,NA
645,NA
104,0
5125,0
2546,0
1,0
73,0
416,NA
46,0
239,0
20,NA
3697,0
648,NA
15,NA
14,0
168,0
30,0
12,NA
9,0
1342,0
25,0
3,0
40,0
71,0
507,0
69,0
173,NA
1331,0
37,0
8,NA
376,0
430,0
15,0
10,0
6,0
2,0
793,0
2421,0
145,0
158,0
63,NA
163,0
28,0
270,NA
254,0
434,0
10,0
6,0
17,0
79,0
11,0
21,0
519,0
9,0
452,0
404,0
407,0
1,0
137,NA
68,NA
1014,0
106,0
16,0
17,0
39,NA
162,0
3,0
58,0
608,0
1317,0
4759,NA
58,0
4,0
244,0
103,0
9,0
599,0
4760,NA
1275,0
548,0
9309,0
151,0
309,0
61,0
250,NA
38,0
