SOP_sales_organization_NA,SOP_sales_organization_A,SOP_sales_organization_B,Reseller
0,65,0,0
0,0,18,0
0,12,1,0
0,8,1,0
0,1,190,0
0,0,35,0
0,171,0,0
0,0,10,0
0,0,76,0
0,3,3,0
0,12,0,NA
0,11,378,0
0,0,15,0
0,0,5,NA
0,694,0,0
0,4,5,0
0,33,26,NA
0,39,30,0
0,1,111,0
0,0,1,0
0,0,1,0
0,11,303,0
0,0,16,0
0,0,6,NA
0,4,184,0
0,0,38,0
0,0,1,0
0,0,46,0
0,0,295,0
0,4,0,NA
0,18,649,0
0,1,0,0
0,13,90,NA
0,19,44,0
0,0,1,0
0,11,0,0
0,0,6,0
0,0,11,0
0,12,111,0
0,1993,0,0
0,565,0,0
0,13,1,0
0,40,0,0
0,1,1,0
0,0,141,0
0,17,3,0
0,7,137,0
0,0,7,NA
0,12,86,0
0,0,1,0
0,0,16,NA
0,0,210,0
0,4,0,0
0,1624,0,0
0,0,12,0
0,56,168,0
0,9,417,NA
0,14,262,0
0,0,35,0
0,223,1161,0
0,0,94,0
0,654,0,0
0,0,43,NA
0,159,0,NA
0,0,1342,NA
0,1018,0,0
0,0,23,0
0,424,0,0
0,26,286,0
0,60,0,0
0,0,1,0
0,9,83,0
0,8,38,NA
0,6,76,0
0,0,16,0
0,2,87,0
0,432,0,0
0,0,20,0
0,0,96,0
0,0,10,0
0,13,17,0
0,0,10,0
0,76,446,0
0,29,268,NA
0,0,72,0
0,113,0,NA
0,0,10,NA
0,0,35,0
0,11,320,0
0,0,38,0
0,32,0,0
0,432,0,0
0,0,110,0
0,9,0,NA
0,0,8,0
0,120,8561,0
0,4,49,NA
0,0,27,0
0,0,179,0
0,0,1,0
0,75,0,NA
0,4,551,0
0,7,137,0
0,11,2646,0
0,0,1,0
0,49,2251,0
0,4,9,NA
0,3,0,0
0,0,11,0
0,5,47,0
0,212,1839,0
0,13,53,0
0,2,183,0
0,52,637,0
0,5,52,0
0,0,6,0
0,1,1010,0
0,1241,0,0
0,292,0,0
0,0,97,NA
0,10,180,NA
