Sales_Order,STP_Ratio,STP_diff_Ratio,Reseller
2,0,0,0
11,0.0149253731343284,0,0
7,1,0,0
2,1,0,0
57,0.113475177304965,0.0625,0
14,0.25,0,0
29,0,0,0
4,1,0,0
9,0.153846153846154,0,0
5,0.110091743119266,0,0
6,1,0,NA
79,0.647058823529412,0,0
9,0.0294117647058824,0,0
2,1,0,NA
60,0.25,0,0
4,0.486486486486487,0,0
13,1,0,NA
49,0.037037037037037,0,0
25,0.888888888888889,0,0
1,0.027027027027027,0,0
1,0.108087091757387,0,0
89,0.857142857142857,0,0
5,1,0,0
1,1,0.2,NA
80,0.3,0,0
12,0.995753715498938,0,0
1,1,0,0
8,0.0731707317073171,0,0
64,1,0,0
3,1,0,NA
53,1,0,0
1,0,0,0
22,1,0,NA
28,0.0740740740740741,0,0
1,1,0,0
2,0.285714285714286,0,0
3,0.012987012987013,0,0
3,0,0,0
108,0.0625,0,0
211,0.0625,0,0
24,0.0307017543859649,0,0
7,0.125,0,0
6,0.0441176470588235,0,0
2,1,0,0
39,0.521739130434783,0,0
13,0.0704225352112676,0,0
38,0.075,0,0
6,0.04,0,NA
45,0,0,0
1,0.133333333333333,0,0
5,1,0,NA
177,1,0,0
4,1,0,0
163,0,0,0
4,0.376068376068376,0,0
71,0,0,0
74,1,0,NA
53,1,0,0
12,0.0517241379310345,0,0
313,1,0,0
38,0.0344827586206897,0,0
83,1,0,0
9,1,0,NA
38,0.0454545454545455,0,NA
121,0,0,NA
119,1,0,0
12,0,0,0
27,1,0.111111111111111,0
63,0.181818181818182,0,0
15,0.117647058823529,0,0
1,0,0,0
16,0,0,0
22,1,0,NA
61,1,0,0
1,0,0,0
7,0.1280353200883,0.0172413793103448,0
25,1,0,0
6,1,0,0
29,1,0,0
2,1,0,0
13,0.5,0,0
4,1,0,0
87,0.0150753768844221,0.166666666666667,0
48,1,0,NA
25,1,0,0
23,0.25,0,NA
2,0,0,NA
12,0.0517241379310345,0,0
34,0,0,0
12,0.995753715498938,0,0
14,1,0,0
25,1,0,0
16,0.666666666666667,0,0
6,0.115384615384615,0,NA
8,1,0,0
753,0.166666666666667,0,0
11,0.008,0,NA
13,1,0,0
44,0.625,0,0
1,1,0,0
10,0.0280373831775701,0,NA
50,0.166666666666667,0,0
38,0.075,0,0
250,1,0,0
1,0.05,0,0
121,1,0,0
6,1,0,NA
1,1,0,0
4,0,0,0
8,0.0344827586206897,0,0
253,1,0,0
17,0.125,0,0
21,0.0933333333333333,0,0
122,0.954545454545455,0,0
23,0.1,0,0
1,0.0555555555555556,0,0
115,0.00199203187250996,0,0
64,1,0,0
36,0.319444444444444,0,0
15,0.622119815668203,0,NA
48,0.00609756097560976,0,NA
51,0.444444444444444,0,0
110,0.04,0,NA
21,0.0154639175257732,0,0
15,1,0,0
41,1,0,0
2,0,0,NA
13,0,0,0
382,1,0,0
3,1,0,0
250,0.272727272727273,0,0
24,0.928571428571429,0,0
2,0.1,0,0
5,0.143236074270557,0,0
83,1,0,0
68,0.178571428571429,0,0
106,1,0,NA
139,0.727272727272727,0,0
22,1,0,0
38,1,0,NA
129,0.4,0,0
24,0.078125,0,0
1,0,0,NA
25,0.0394736842105263,0,0
87,0.304761904761905,0,0
13,1,0,NA
2,1,0,0
19,1,0,0
44,0.625,0,NA
59,0.166666666666667,0,0
3,0,0,0
23,0.25,0,0
8,1,0,0
24,0.0298507462686567,0,0
2,1,0,NA
18,0.242424242424242,0,NA
108,1,0.25,0
5,1,0,0
40,0.0242424242424242,0,NA
1,1,0,0
4,0.0175054704595186,0,0
67,1,0,0
50,1,0.0555555555555556,0
244,0.05,0,0
7,0,0,0
4,0.0211132437619962,0,0
2,0.264957264957265,0,0
14,0.25,0,NA
2,0.173913043478261,0,0
2,0.833333333333333,0,0
1,1,0,0
19,0.107142857142857,0,NA
4,0,0,0
5,1,0,0
2,1,0,NA
70,1,0,NA
11,0,0,0
4,0,0,0
4,1,0,0
3,0.2,0,0
9,1,0,NA
2,1,0,NA
65,1,0,0
5,1,0,0
18,0.242424242424242,0,0
1,1,0,0
61,0.454545454545455,0,0
3,0.324324324324324,0,0
