,SOP_NI_Variance,Reseller
1,1717,0
2,12,0
3,0.74,0
4,0,0
5,18,0
6,1.9,0
7,0.14,0
8,22,0
9,33,0
10,12,0
11,0,NA
12,50,0
13,0,0
14,0,NA
15,287,0
16,1,0
17,7,NA
18,33,0
19,22835,0
20,-1,0
21,-1,0
22,667,0
23,1.9,0
24,0.97,NA
25,45,0
26,15,0
27,-1,0
28,365,0
29,566,0
30,0,NA
31,32,0
32,-1,0
33,4.2,NA
34,2.6,0
35,-1,0
36,1.1,0
37,0.67,0
38,0.091,0
39,2.6,0
40,330,0
41,24,0
42,0.38,0
43,0.16,0
44,32,0
45,7.8,0
46,0.54,0
47,29,0
48,1.6,NA
49,36,0
50,-1,0
51,2.4,NA
52,42,0
53,0.25,0
54,5.5,0
55,0.45,0
56,4.6,0
57,193,NA
58,32,0
59,162,0
60,2503,0
61,0.72,0
62,105,0
63,512,NA
64,2.9,NA
65,2615,NA
66,386,0
67,7,0
68,21,0
69,964,0
70,0.2,0
71,-1,0
72,3.3,0
73,275406,NA
74,4.7,0
75,3.8,0
76,14,0
77,41,0
78,4.6,0
79,75,0
80,6.4,0
81,0.89,0
82,0.62,0
83,1353,0
84,162,NA
85,230,0
86,306,NA
87,8.3,NA
88,162,0
89,13,0
90,15,0
91,2.9,0
92,41,0
93,2243,0
94,0.28,NA
95,1.1,0
96,292,0
97,2.8,NA
98,0.49,0
99,16,0
100,-1,0
101,41,NA
102,1367,0
103,29,0
104,169,0
105,-1,0
106,803,0
107,0.31,NA
108,0,0
109,95,0
110,115,0
111,89519,0
112,15069,0
113,91,0
114,2.5,0
115,0.018,0
116,0.3,0
117,471,0
118,150,0
119,2038,0
120,209,NA
121,3.5,NA
122,475,0
123,16,NA
124,2606,0
125,0.24,0
126,91,0
127,0,NA
128,20,0
129,29,0
130,43,0
131,478,0
132,22,0
133,24,0
134,0,0
135,21,0
136,41,0
137,170,NA
138,2615,0
139,65,0
140,16,NA
141,264,0
142,384,0
143,-1,NA
144,4199,0
145,118,0
146,0.47,NA
147,0,0
148,223,0
149,16,NA
150,204,0
151,0.25,0
152,306,0
153,0,0
154,63,0
155,4.9,NA
156,46,NA
157,282,0
158,0.24,0
159,0.24,NA
160,0,0
161,16,0
162,5.4,0
163,14,0
164,127,0
165,0.022,0
166,0.65,0
167,0,0
168,1.9,NA
169,0,0
170,34,0
171,3.2,0
172,0.46,NA
173,206,0
174,9.1,0
175,0.083,NA
176,499,NA
177,1,0
178,15,0
179,315,0
180,1.3,0
181,1.4,NA
182,0,NA
183,11,0
184,3.4,0
185,46,0
186,4.9,0
187,131,0
188,0,0
189,62,0
190,10,0
191,10,NA
192,1.1,0
193,280,0
194,615,0
195,121,0
196,0.73,0
197,0.14,0
198,1.5,0
199,0.18,0
200,0,NA
201,263,0
202,0.2,0
203,2,NA
204,15,0
205,0,0
206,1.1,0
207,-1,0
208,13,0
209,786,0
210,566,NA
211,-1,0
212,0.5,0
213,11,0
214,61,0
215,0.057,0
216,0.14,0
217,413,0
218,-1,0
219,0,NA
220,7.5,NA
221,141,0
222,140,0
223,0.26,0
224,1.3,0
225,3.8,NA
226,115,0
227,0.86,0
228,0.22,0
229,0.85,0
230,0.19,0
231,0.12,0
232,58,NA
233,0,0
234,8.2,0
235,32,0
236,198,NA
237,-1,0
238,9.5,0
239,-1,0
240,2.9,NA
241,0,NA
242,4.1,0
243,5589,0
244,4.5,0
245,0.87,0
246,9.5,NA
247,2.9,0
248,19,NA
249,0.37,0
250,46,0
251,47,0
252,0.27,0
253,45,0
254,1.5,0
255,1.4,0
256,0.7,0
257,0,NA
258,2.3,0
259,0,0
260,0,0
261,0.2,NA
262,790,0
263,7.5,0
264,15,NA
265,28,0
266,0.071,NA
267,2.8,0
268,12,0
269,1.2,0
270,0.41,0
271,84,0
272,478,0
273,0.7,0
274,-1,0
275,80,0
276,2777,0
277,27,0
278,3.7,0
279,10,0
280,5.5,0
281,389,0
282,3.5,NA
283,136,0
284,375,0
285,5.1,NA
286,22835,NA
287,92,0
288,131,0
289,82,0
290,-1,0
291,12,0
292,182,NA
293,16,0
294,1.8,0
295,3772,NA
296,173,0
297,34,NA
298,7.7,NA
299,87,0
300,1.6,0
301,31,0
302,66,NA
303,0.25,0
304,1384,0
305,10,0
306,0,0
307,286,0
308,16,0
309,0.14,0
310,0.055,0
311,1592,NA
312,420,0
313,16,0
314,0.79,NA
315,1.8,0
316,93,0
317,6.1,0
318,0.28,0
319,0.4,0
320,44,0
321,46,0
322,1335,0
323,11,0
324,10,0
325,1.1,NA
326,0,0
327,33,0
328,384,NA
329,137,0
330,33,0
331,0.46,0
332,1645,0
333,142,0
334,20,0
335,11,0
336,0.048,0
337,434,0
338,7.8,0
339,28,0
340,2.7,0
341,5.9,0
342,-1,0
343,43,NA
344,24,NA
345,478,0
346,15,0
347,47,0
348,5.7,0
349,1.6,NA
350,41,0
351,0,0
352,51,0
353,29,0
354,15,0
355,185,NA
356,0.71,0
357,471,0
358,6.7,0
359,93,0
360,1.4,0
361,71,0
362,74,NA
363,10,0
364,73,0
365,38,0
366,0.67,0
367,20,0
368,23,0
369,8.3,NA
370,18,0
371,-1,NA
372,18,NA
373,0.33,NA
374,0.21,0
375,7.5,0
376,0,0
377,413,0
378,1.5,0
379,7.9,0
380,6.6,NA
381,25823,1
382,0,0
383,1.5,0
384,2.6,0
385,214,0
386,286,NA
387,10,0
388,0,0
389,262,NA
390,1.4,NA
391,46,0
392,1.5,0
393,286,0
394,0,0
395,0,NA
396,5.7,NA
397,0.18,0
398,83,NA
399,126,0
400,212,0
401,64,0
402,2570,0
403,0.24,NA
404,1912,0
405,4.3,0
406,19,0
407,4.6,0
408,2.7,NA
409,0.29,0
410,220,0
411,0.12,0
412,6.3,0
413,36,NA
414,499,NA
415,2.8,0
416,1.3,0
417,1.4,0
418,937,0
419,48,NA
420,7.8,0
421,275,NA
422,0,0
423,46,NA
424,46,0
425,139,0
426,25823,0
427,0.48,0
428,11,0
429,32,0
430,31,0
431,-1,0
432,27,0
433,11,0
434,10,0
435,5.4,0
436,25,0
437,0,0
438,0.26,0
439,-1,NA
440,206,0
441,11,0
442,0,0
443,4.5,0
444,0.21,NA
445,2003,1
446,34,0
447,0,0
448,39,0
449,178,0
450,-1,0
451,2.6,NA
452,644,0
453,0.25,0
454,1448,0
455,3.8,0
456,15,0
457,3.6,0
458,71,0
459,0,0
460,0.57,0
461,0.67,0
462,91,0
463,-1,NA
464,1.8,0
465,2777,NA
466,0,0
467,0.73,0
468,53,NA
469,10,0
470,0,0
471,2.3,0
472,2.7,0
473,0.26,0
474,3.2,0
475,645,0
476,0.29,0
477,-1,0
478,0.16,0
479,40,NA
480,937,0
481,669,0
482,0,NA
483,1950,0
484,0,0
485,-1,0
486,61,NA
487,5.6,NA
488,0.5,0
489,-1,0
490,1448,0
491,1.2,0
492,2.6,0
493,51,0
494,0.14,NA
495,3.9,0
496,0.18,NA
497,0,NA
498,29,0
499,1.2,0
500,499,0
501,24,0
502,131,NA
503,3.2,NA
504,0.14,0
505,0.27,1
506,-1,0
507,0,0
508,0.18,0
509,292,0
510,0.73,NA
511,0,0
512,162,0
513,56,0
514,0,0
515,0.17,0
516,-1,0
517,-1,0
518,0.19,0
519,2.8,NA
520,0,0
521,-1,NA
522,4.4,NA
523,0,0
524,1.2,0
525,0.083,0
526,2.1,0
527,114,0
528,0,1
529,159,1
530,0.032,1
531,0.12,1
532,10067,NA
533,0.21,1
534,3634,1
535,27,1
536,96,1
537,0,1
538,15,NA
539,11,1
540,6459,1
541,6946,1
542,768,1
543,30,1
544,3.8,1
545,57867,1
546,4.1,1
547,-1,1
548,20,1
549,115,0
550,0,0
551,139,0
552,23,0
553,2243,0
554,653,NA
555,4.8,0
556,0.62,0
557,0.064,0
558,0,0
559,43,0
560,1220,NA
561,-1,0
562,306,0
563,0,NA
564,0.16,0
565,0,0
566,1.1,0
567,0.1,0
568,-1,0
569,0.27,0
570,0.11,0
571,1.9,0
572,2.2,NA
573,6.1,0
574,-1,0
575,30,0
576,429,0
577,0.33,0
578,0.99,0
579,35413,0
580,92,0
581,22,0
582,11,0
583,855,0
584,5,0
585,-1,0
586,24,0
