,SOP_NV_Variance,Reseller
1,1.2e+11,0
2,4.7e+10,0
3,5.8e+09,0
4,1.2e+12,0
5,9.8e+10,0
6,8.4e+10,0
7,1.1e+12,0
8,2.2e+10,0
9,8.3e+10,0
10,1.1e+10,0
11,1.3e+12,NA
12,1.4e+11,0
13,5.6e+10,0
14,1.1e+10,NA
15,1.2e+11,0
16,1.3e+12,0
17,4.7e+11,NA
18,1.6e+11,0
19,8.9e+10,0
20,-1,0
21,-1,0
22,1.3e+11,0
23,1.3e+11,0
24,1.4e+10,NA
25,6.7e+10,0
26,8.4e+10,0
27,-1,0
28,7.6e+10,0
29,1.2e+11,0
30,5.8e+10,NA
31,1.4e+11,0
32,-1,0
33,2e+11,NA
34,8.5e+11,0
35,-1,0
36,1.4e+12,0
37,4e+10,0
38,3.2e+09,0
39,1.4e+11,0
40,1.9e+11,0
41,2.1e+11,0
42,1.3e+12,0
43,8.6e+11,0
44,2.5e+10,0
45,8.4e+10,0
46,5.5e+11,0
47,2.7e+11,0
48,1.5e+11,NA
49,3e+11,0
50,-1,0
51,6.9e+09,NA
52,1e+11,0
53,1.9e+11,0
54,1.8e+11,0
55,1.1e+11,0
56,1.7e+11,0
57,1.7e+11,NA
58,7.9e+10,0
59,1.4e+11,0
60,2.1e+11,0
61,8.2e+10,0
62,1.2e+11,0
63,1e+11,NA
64,2.4e+11,NA
65,8.7e+10,NA
66,1.5e+11,0
67,8.7e+10,0
68,8.7e+10,0
69,3.3e+11,0
70,9.4e+11,0
71,-1,0
72,3e+11,0
73,5.5e+11,NA
74,5.5e+10,0
75,1.3e+11,0
76,8.4e+10,0
77,1.6e+11,0
78,9e+10,0
79,9.2e+10,0
80,6.4e+10,0
81,9.8e+10,0
82,1.5e+11,0
83,1.2e+11,0
84,2.8e+11,NA
85,5e+10,0
86,1.5e+11,NA
87,9.6e+10,NA
88,1.4e+11,0
89,1.8e+11,0
90,8.4e+10,0
91,1e+12,0
92,1.6e+11,0
93,1e+11,0
94,1.3e+12,NA
95,8.9e+09,0
96,1.3e+11,0
97,3.8e+11,NA
98,7.5e+10,0
99,4.3e+10,0
100,-1,0
101,1e+11,NA
102,1.1e+11,0
103,2.7e+11,0
104,9.1e+10,0
105,-1,0
106,1.2e+11,0
107,9.3e+11,NA
108,1.8e+12,0
109,7.4e+10,0
110,3.3e+11,0
111,3.2e+11,0
112,4.5e+11,0
113,1.1e+11,0
114,2.8e+11,0
115,3.5e+11,0
116,2.6e+10,0
117,8.9e+10,0
118,1.2e+11,0
119,2.6e+11,0
120,6.4e+10,NA
121,1.4e+11,NA
122,7.5e+10,0
123,1.1e+11,NA
124,8.1e+10,0
125,1.3e+12,0
126,2.4e+11,0
127,3e+10,NA
128,4e+11,0
129,1.6e+11,0
130,5.1e+09,0
131,1.5e+11,0
132,6.6e+10,0
133,1.2e+09,0
134,1.2e+12,0
135,1.8e+11,0
136,7.6e+10,0
137,1.8e+11,NA
138,2.8e+11,0
139,8.3e+10,0
140,2e+11,NA
141,4.3e+11,0
142,5.5e+11,0
143,-1,NA
144,3.2e+11,0
145,1.9e+11,0
146,2.6e+11,NA
147,3.4e+11,0
148,8.5e+10,0
149,4.3e+10,NA
150,1.6e+11,0
151,2.3e+11,0
152,1.5e+11,0
153,4.9e+10,0
154,1.2e+11,0
155,9e+10,NA
156,5.7e+10,NA
157,1.6e+11,0
158,7.2e+11,0
159,7.8e+10,NA
160,1.5e+10,0
161,1.1e+12,0
162,4.2e+11,0
163,2.3e+11,0
164,2.2e+11,0
165,4.3e+08,0
166,1.6e+11,0
167,4.6e+09,0
168,8.4e+10,NA
169,7.5e+11,0
170,8.4e+11,0
171,1.2e+11,0
172,1.9e+11,NA
173,1.3e+10,0
174,1.2e+11,0
175,1.2e+12,NA
176,1.2e+11,NA
177,8e+11,0
178,1.2e+11,0
179,1e+11,0
180,1.9e+10,0
181,4.6e+11,NA
182,4.5e+10,NA
183,1.4e+11,0
184,4.4e+10,0
185,5.7e+10,0
186,1.1e+11,0
187,1.1e+11,0
188,5.8e+08,0
189,3.3e+11,0
190,1.1e+11,0
191,7.2e+11,NA
192,3.7e+11,0
193,1.3e+11,0
194,1e+11,0
195,1.4e+11,0
196,1.5e+11,0
197,2e+12,0
198,8.6e+09,0
199,2.5e+11,0
200,4.7e+11,NA
201,5.8e+10,0
202,5.4e+10,0
203,3.8e+11,NA
204,1.2e+11,0
205,2.4e+11,0
206,1.4e+11,0
207,-1,0
208,0,0
209,1.6e+11,0
210,1.2e+11,NA
211,-1,0
212,1.1e+12,0
213,8.8e+11,0
214,1e+11,0
215,6.7e+10,0
216,1.6e+12,0
217,1.2e+11,0
218,-1,0
219,2.5e+11,NA
220,6e+11,NA
221,3.2e+11,0
222,1.4e+11,0
223,7.6e+11,0
224,3.3e+11,0
225,5e+10,NA
226,1.3e+11,0
227,1.2e+11,0
228,1.8e+10,0
229,1.6e+11,0
230,9.4e+11,0
231,1.1e+12,0
232,7.9e+10,NA
233,1.1e+12,0
234,8.1e+10,0
235,7.9e+10,0
236,8.9e+10,NA
237,-1,0
238,1.7e+11,0
239,-1,0
240,1e+12,NA
241,7.4e+09,NA
242,1.2e+11,0
243,8.4e+11,0
244,3.8e+10,0
245,2.1e+11,0
246,6.3e+11,NA
247,2.6e+09,0
248,3.1e+11,NA
249,1.2e+12,0
250,1e+10,0
251,1.4e+10,0
252,1e+12,0
253,4.6e+10,0
254,5.8e+10,0
255,8.5e+10,0
256,1.2e+11,0
257,2.6e+10,NA
258,1.4e+11,0
259,5.3e+09,0
260,1.1e+09,0
261,1.3e+12,NA
262,8e+10,0
263,4.7e+11,0
264,8.4e+10,NA
265,8.3e+10,0
266,2e+10,NA
267,8e+10,0
268,8.1e+10,0
269,1.3e+12,0
270,1.2e+12,0
271,1.3e+11,0
272,1.5e+11,0
273,1.2e+11,0
274,-1,0
275,1.8e+11,0
276,1.2e+11,0
277,5.8e+10,0
278,2.4e+11,0
279,9.1e+11,0
280,1.8e+11,0
281,7.7e+10,0
282,1.1e+11,NA
283,1.5e+11,0
284,1e+11,0
285,3.8e+11,NA
286,8.9e+10,NA
287,5.4e+11,0
288,9.4e+10,0
289,1.1e+11,0
290,-1,0
291,9.4e+10,0
292,1.1e+11,NA
293,4.6e+11,0
294,3e+11,0
295,5.8e+10,NA
296,8.1e+10,0
297,1.5e+11,NA
298,1.2e+11,NA
299,2.1e+11,0
300,1.5e+11,0
301,1.1e+11,0
302,8.3e+10,NA
303,1e+12,0
304,1.1e+11,0
305,5.2e+10,0
306,3e+11,0
307,1.5e+11,0
308,1.3e+11,0
309,1.6e+12,0
310,8.9e+11,0
311,4.7e+11,NA
312,1e+11,0
313,3.7e+11,0
314,9.6e+09,NA
315,3e+11,0
316,9e+10,0
317,6.8e+10,0
318,1.3e+12,0
319,1.3e+12,0
320,3.6e+11,0
321,1.1e+11,0
322,9.6e+10,0
323,4.2e+10,0
324,4.1e+11,0
325,6.7e+10,NA
326,1.2e+12,0
327,1.3e+11,0
