,SOP_BU_A,SOP_BU_B,SOP_BU_C,Reseller
1,65,-1,-1,0
2,-1,18,-1,0
3,11,-1,2,0
4,-1,9,-1,0
5,149,40,2,0
6,-1,1,34,0
7,9,-1,162,0
8,4,-1,6,0
9,65,11,-1,0
10,-1,6,-1,0
11,4,5,3,NA
12,294,82,13,0
13,-1,-1,15,0
14,5,-1,-1,NA
15,694,-1,-1,0
16,5,-1,4,0
17,26,33,-1,NA
18,13,16,40,0
19,74,24,14,0
20,1,-1,-1,0
21,-1,-1,1,0
22,171,54,89,0
23,2,12,2,0
24,-1,6,-1,NA
25,-1,188,-1,0
26,-1,38,-1,0
27,-1,1,-1,0
28,17,28,1,0
29,139,145,11,0
30,-1,4,-1,NA
31,478,14,175,0
32,-1,1,-1,0
33,9,2,92,NA
34,-1,13,50,0
35,-1,1,-1,0
36,-1,-1,11,0
37,-1,6,-1,0
38,-1,-1,11,0
39,8,-1,115,0
40,-1,-1,1993,0
41,565,-1,-1,0
42,-1,-1,14,0
43,4,-1,36,0
44,2,-1,-1,0
45,3,-1,138,0
46,11,-1,9,0
47,132,12,-1,0
48,5,2,-1,NA
49,87,11,-1,0
50,-1,1,-1,0
51,9,7,-1,NA
52,-1,-1,210,0
53,-1,-1,4,0
54,-1,-1,1624,0
55,-1,12,-1,0
56,129,19,76,0
57,262,144,20,NA
58,150,80,46,0
59,13,22,-1,0
60,451,116,817,0
61,80,14,-1,0
62,654,-1,-1,0
63,24,18,1,NA
64,-1,-1,159,NA
65,1058,277,7,NA
66,-1,-1,1018,0
67,19,4,-1,0
68,-1,-1,424,0
69,128,177,7,0
70,-1,-1,60,0
71,1,-1,-1,0
72,36,9,47,0
73,21,25,-1,NA
74,37,43,2,0
75,4,1,11,0
76,63,26,-1,0
77,-1,-1,432,0
78,20,-1,-1,0
79,28,62,6,0
80,-1,-1,10,0
81,1,17,12,0
82,-1,10,-1,0
83,345,45,132,0
84,93,14,190,NA
85,62,5,5,0
86,-1,-1,113,NA
87,10,-1,-1,NA
88,13,22,-1,0
89,268,63,-1,0
90,-1,38,-1,0
91,4,2,26,0
92,-1,-1,432,0
93,66,36,8,0
94,-1,9,-1,NA
95,-1,8,-1,0
96,4843,1591,2247,0
97,49,-1,4,NA
98,22,4,1,0
99,8,-1,171,0
100,-1,1,-1,0
101,75,-1,-1,NA
102,232,73,250,0
103,132,12,-1,0
104,2260,116,281,0
105,1,-1,-1,0
106,1460,218,622,0
107,13,-1,-1,NA
108,-1,-1,3,0
109,11,-1,-1,0
110,33,2,17,0
111,1182,453,416,0
112,49,16,1,0
113,131,47,7,0
114,379,79,231,0
115,14,1,42,0
116,-1,-1,6,0
117,688,183,140,0
118,-1,-1,1241,0
119,-1,-1,292,0
120,47,5,45,NA
121,42,2,146,NA
122,199,108,121,0
123,-1,-1,2094,NA
124,162,11,119,0
125,-1,9,20,0
126,41,13,28,0
127,-1,-1,9,NA
128,27,18,3,0
129,2647,150,-1,0
130,-1,2,1,0
131,867,565,389,0
132,21,6,5,0
133,2,-1,-1,0
134,7,-1,-1,0
135,-1,-1,563,0
136,101,39,80,0
137,794,136,4,NA
138,471,108,29,0
139,38,24,6,0
140,75,4,10,NA
141,302,177,131,0
142,71,25,1,0
143,1,-1,-1,NA
144,35,25,1,0
145,310,70,139,0
146,119,4,-1,NA
147,4,-1,-1,0
148,59,12,-1,0
149,8,-1,171,NA
150,804,160,71,0
151,1,2,1,0
152,-1,-1,113,0
153,-1,-1,19,0
154,87,4,119,0
155,5,3,66,NA
156,-1,-1,18,NA
157,622,13,444,0
158,7,-1,35,0
159,-1,-1,68,NA
160,-1,4,-1,0
161,-1,8,2,0
162,-1,170,-1,0
163,104,5,125,0
164,384,418,8,0
165,-1,46,-1,0
166,30,-1,29,0
167,-1,-1,2,0
168,-1,1,34,NA
169,-1,5,-1,0
170,19,-1,-1,0
171,2,3,-1,0
172,5,12,76,NA
173,7,2,-1,0
174,27,5,-1,0
175,-1,12,-1,NA
176,147,84,27,NA
177,16,-1,23,0
178,15,-1,-1,0
179,22,11,-1,0
180,2,1,-1,0
181,27,4,3,NA
182,-1,5,-1,NA
183,196,15,216,0
184,-1,40,-1,0
185,-1,-1,18,0
186,-1,10,-1,0
187,871,272,156,0
188,3,-1,-1,0
189,79,24,-1,0
190,330,20,295,0
191,21,-1,6,NA
192,-1,35,3,0
193,7847,-1,8,0
194,374,-1,-1,0
195,206,28,204,0
196,160,69,171,0
197,-1,7,-1,0
198,-1,15,-1,0
199,10,-1,-1,0
200,2,-1,-1,NA
201,15,4,2,0
202,3,-1,2,0
203,2,-1,-1,NA
204,15,-1,-1,0
205,-1,-1,3,0
206,-1,-1,167,0
207,-1,1,-1,0
208,6,1,-1,0
209,563,230,84,0
210,139,145,11,NA
211,-1,1,-1,0
212,-1,1,14,0
213,8,2,3,0
214,564,171,593,0
215,23,3,8,0
216,2,5,-1,0
217,1078,32,43,0
218,-1,1,-1,0
219,-1,20,-1,NA
220,35,67,15,NA
221,46,2,3,0
222,134,97,10,0
223,-1,12,2,0
224,15,5,58,0
225,10,8,33,NA
226,6177,-1,-1,0
227,40,5,15,0
228,11,-1,-1,0
229,16,-1,14,0
230,-1,9,-1,0
231,-1,8,-1,0
232,54,8,-1,NA
233,1,-1,14,0
234,242,49,197,0
235,150,80,46,0
236,194,35,-1,NA
237,-1,-1,1,0
238,28,20,295,0
239,1,-1,-1,0
240,4,2,26,NA
241,-1,3,-1,NA
242,73,4,-1,0
243,21,7,-1,0
244,-1,-1,102,0
245,-1,11,-1,0
246,-1,58,-1,NA
247,-1,27,-1,0
248,-1,-1,105,NA
249,1,1,15,0
250,7,-1,-1,0
251,4,12,-1,0
252,-1,9,1,0
253,17,3,3,0
254,28,7,-1,0
255,23,6,51,0
256,-1,28,-1,0
257,-1,-1,3,NA
258,-1,-1,335,0
259,-1,-1,11,0
260,-1,-1,2,0
261,-1,10,1,NA
262,1275,-1,-1,0
263,5,49,1,0
264,-1,38,-1,NA
265,-1,-1,905,0
266,10,3,1,NA
267,6,6,-1,0
268,348,62,31,0
269,43,4,160,0
270,4,-1,65,0
271,228,60,66,0
272,867,565,389,0
273,-1,28,-1,0
274,1,-1,-1,0
275,1077,45,121,0
276,31,32,235,0
277,37,2,-1,0
278,-1,-1,265,0
279,86,4,2,0
280,-1,-1,1624,0
281,1453,55,3,0
282,100,7,5,NA
283,-1,-1,6518,0
284,293,121,89,0
285,90,32,27,NA
286,74,24,14,NA
287,93,-1,11,0
288,4755,355,15,0
289,1901,132,513,0
290,-1,1,-1,0
291,16,7,50,0
292,416,-1,-1,NA
293,18,-1,28,0
294,5,-1,234,0
295,19,1,-1,NA
296,-1,12,3685,0
297,358,84,206,NA
298,-1,-1,2449,NA
299,147,373,12,0
