,SOP_Total_Num_Items,Reseller
1,1329,0
2,54,0
3,27,0
4,9,0
5,619,0
6,65,0
7,147,0
8,26,0
9,477,0
10,21,0
11,0,NA
12,1330,0
13,15,0
14,5,NA
15,4999,0
16,13,0
17,112,NA
18,136,0
19,2615,0
20,1,0
21,1,0
22,1807,0
23,40,0
24,13,NA
25,913,0
26,148,0
27,1,0
28,440,0
29,2194,0
30,4,NA
31,1758,0
32,1,0
33,155,NA
34,99,0
35,8,0
36,23,0
37,8,0
38,12,0
39,217,0
40,11842,0
41,1910,0
42,15,0
43,32,0
44,12,0
45,266,0
46,26,0
47,656,0
48,9,NA
49,239,0
50,1,0
51,30,NA
52,1054,0
53,5,0
54,3040,0
55,19,0
56,402,0
57,1767,NA
58,1962,0
59,154,0
60,16600,0
61,113,0
62,4041,0
63,259,NA
64,213,NA
65,12840,NA
66,5409,0
67,70,0
68,1492,0
69,1941,0
70,56,0
71,1,0
72,291,0
73,5342,NA
74,169,0
75,58,0
76,316,0
77,1061,0
78,49,0
79,545,0
80,30,0
81,52,0
82,18,0
83,4423,0
84,884,NA
85,769,0
86,2937,NA
87,36,NA
88,154,0
89,1066,0
90,148,0
91,43,0
92,1061,0
93,1229,0
94,5,NA
95,13,0
96,71314,0
97,153,NA
98,42,0
99,715,0
100,2,0
101,243,NA
102,3889,0
103,656,0
104,17743,0
105,1,0
106,31442,0
107,15,NA
108,0,0
109,100,0
110,430,0
111,113559,0
112,1203,0
113,960,0
114,1142,0
115,58,0
116,9,0
117,6729,0
118,8204,0
119,4127,0
120,677,NA
121,303,NA
122,2863,0
123,6030,NA
124,4352,0
125,18,0
126,796,0
127,9,NA
128,173,0
129,10932,0
130,21,0
131,9404,0
132,125,0
133,13,0
134,7,0
135,1809,0
136,919,0
137,6882,NA
138,6085,0
139,334,0
140,475,NA
141,5152,0
142,668,0
143,1,NA
144,1079,0
145,4289,0
146,136,NA
147,4,0
148,712,0
149,715,NA
150,6590,0
151,5,0
152,2937,0
153,19,0
154,905,0
155,99,NA
156,60,NA
157,5067,0
158,35,0
159,80,NA
160,4,0
161,20,0
162,315,0
163,746,0
164,2035,0
165,47,0
166,96,0
167,2,0
168,65,NA
169,5,0
170,229,0
171,24,0
172,107,NA
173,84,0
174,90,0
175,11,NA
176,1753,NA
177,57,0
178,49,0
179,382,0
180,7,0
181,56,NA
182,5,NA
183,1166,0
184,82,0
185,60,0
186,37,0
187,10508,0
188,3,0
189,720,0
190,1573,0
191,100,NA
192,69,0
193,40154,0
194,4240,0
195,1530,0
196,487,0
197,6,0
198,36,0
199,12,0
200,2,NA
201,223,0
202,6,0
203,6,NA
204,49,0
205,3,0
206,228,0
207,1,0
208,21,0
209,9213,0
210,2194,NA
211,1,0
212,19,0
213,16,0
214,6350,0
215,36,0
216,6,0
217,11222,0
218,1,0
219,20,NA
220,269,NA
221,313,0
222,1328,0
223,8,0
224,117,0
225,135,NA
226,25803,0
227,90,0
228,14,0
229,50,0
230,7,0
231,7,0
232,258,NA
233,15,0
234,1127,0
235,1962,0
236,2034,NA
237,1,0
238,512,0
239,1,0
240,43,NA
241,3,NA
242,160,0
243,564,0
244,238,0
245,17,0
246,167,NA
247,60,0
248,421,NA
249,11,0
250,43,0
251,85,0
252,6,0
253,101,0
254,59,0
255,100,0
256,42,0
257,3,NA
258,628,0
259,11,0
260,4,0
261,11,NA
262,10659,0
263,95,0
264,148,NA
265,1776,0
266,15,NA
267,27,0
268,971,0
269,255,0
270,60,0
271,2001,0
272,9404,0
273,42,0
