,SOP_Total_netvalue,Reseller
1,189777169,0
2,16328010,0
3,11980068,0
4,20185336,0
5,163312109,0
6,27605928,0
7,380071260,0
8,9451670,0
9,75241201,0
10,4676786,0
11,22405554,NA
12,378802198,0
13,11728292,0
14,4670711,NA
15,680622802,0
16,16015318,0
17,64695037,NA
18,69779078,0
19,97925559,0
20,1099903,0
21,1101739,0
22,300996905,0
23,12691115,0
24,5591829,NA
25,156870444,0
26,32250457,0
27,916607,0
28,33464841,0
29,262518504,0
30,2589788,NA
31,647780723,0
32,906855,0
33,102743680,NA
34,81678628,0
35,717919,0
36,25065267,0
37,5868047,0
38,8599468,0
39,87206438,0
40,1922930752,0
41,562834823,0
42,17613433,0
43,100390726,0
44,1930172,0
45,122782176,0
46,20419948,0
47,130601081,0
48,4643091,NA
49,100994021,0
50,1177827,0
51,15259822,NA
52,160088748,0
53,2683893,0
54,1500927185,0
55,11849225,0
56,201874895,0
57,392302235,NA
58,239620189,0
59,29559947,0
60,1184935987,0
61,73749587,0
62,630413667,0
63,39043942,NA
64,144395344,NA
65,1378735732,NA
66,959872683,0
67,17640976,0
68,363133374,0
69,291309346,0
70,88405141,0
71,1183529,0
72,94919311,0
73,54762911,NA
74,77745709,0
75,12029773,0
76,86607341,0
77,370474822,0
78,18778516,0
79,87779243,0
80,7730281,0
81,23932674,0
82,8002090,0
83,469142107,0
84,317449739,NA
85,61948428,0
86,103275873,NA
87,9510694,NA
88,29559947,0
89,304275083,0
90,32250457,0
91,45160121,0
92,370474822,0
93,82492624,0
94,13335645,NA
95,7120700,0
96,7688321309,0
97,48952218,NA
98,25425639,0
99,140944651,0
100,93936,0
101,66896600,NA
102,509046240,0
103,130601081,0
104,2501986847,0
105,2963102,0
106,2010301294,0
107,18212359,NA
108,6540459,0
109,9244859,0
110,45833472,0
111,1795683209,0
112,62022966,0
113,166738555,0
114,721228625,0
115,47720817,0
116,5367102,0
117,957316955,0
118,1128675379,0
119,297706752,0
120,79677766,NA
121,173564015,NA
122,401637168,0
123,2081296060,NA
124,239444459,0
125,52311724,0
126,70378801,0
127,9720066,NA
128,43891339,0
129,2686356308,0
130,2777571,0
131,1798319863,0
132,24585451,0
133,2072473,0
134,14560712,0
135,571964620,0
136,193696737,0
137,887674993,NA
138,591681354,0
139,61098532,0
140,82509728,NA
141,646635816,0
142,105619648,0
143,1104782,NA
144,63179695,0
145,489557160,0
146,126921879,NA
147,2451962,0
148,58227866,0
149,140944651,NA
150,918242385,0
151,3176432,0
152,103275873,0
153,16465877,0
154,190292120,0
155,67538833,NA
156,17503416,NA
157,1021691587,0
158,107364887,0
159,51032028,NA
160,4107248,0
161,18910204,0
162,175003297,0
163,197465106,0
164,760421495,0
165,40177621,0
166,51756284,0
167,1569265,0
168,27605928,NA
169,12884435,0
170,23792348,0
171,3422915,0
172,83063177,NA
173,8054211,0
174,27839812,0
175,26554523,NA
176,222259480,NA
177,46193494,0
178,12845216,0
179,24652056,0
180,2530393,0
181,30383476,NA
182,4967462,NA
183,399138833,0
184,37376524,0
185,17503416,0
186,6930541,0
187,1171258171,0
188,2543483,0
189,103111375,0
190,584124276,0
191,33884498,NA
192,38697152,0
193,7221776688,0
194,313052717,0
195,393584433,0
196,386862287,0
197,12864169,0
