,SOP_Order_Num,Reseller
1,65,0
2,18,0
3,13,0
4,9,0
5,191,0
6,35,0
7,171,0
8,10,0
9,76,0
10,6,0
11,12,NA
12,389,0
13,15,0
14,5,NA
15,694,0
16,9,0
17,59,NA
18,69,0
19,112,0
20,1,0
21,1,0
22,314,0
23,16,0
24,6,NA
25,188,0
26,38,0
27,1,0
28,46,0
29,295,0
30,4,NA
31,667,0
32,1,0
33,103,NA
34,63,0
35,1,0
36,11,0
37,6,0
38,11,0
39,123,0
40,1993,0
41,565,0
42,14,0
43,40,0
44,2,0
45,141,0
46,20,0
47,144,0
48,7,NA
49,98,0
50,1,0
51,16,NA
52,123,0
53,4,0
54,1624,0
55,12,0
56,224,0
57,426,NA
58,276,0
59,35,0
60,1384,0
61,94,0
62,654,0
63,43,NA
64,159,NA
65,1342,NA
66,1018,0
67,23,0
68,424,0
69,312,0
70,60,0
71,1,0
72,92,0
73,46,NA
74,82,0
75,16,0
76,89,0
77,432,0
78,20,0
79,96,0
80,10,0
81,30,0
82,10,0
83,522,0
84,297,NA
85,72,0
86,113,NA
87,10,NA
88,148,0
89,331,0
90,268,0
91,32,0
92,33,0
93,110,0
94,9,NA
95,8,0
96,314,0
97,53,NA
98,27,0
99,179,0
100,1,0
101,75,NA
102,555,0
103,28,0
104,2657,0
105,1,0
106,2300,0
107,13,NA
108,3,0
109,11,0
110,52,0
111,2051,0
112,66,0
113,185,0
114,689,0
115,57,0
116,6,0
117,1011,0
118,1241,0
119,292,0
120,97,NA
121,190,NA
122,428,0
123,2094,NA
124,292,0
125,29,0
126,82,0
127,9,NA
128,48,0
129,2797,0
130,3,0
131,1821,0
132,32,0
133,2,0
134,7,0
135,563,0
136,220,0
137,934,NA
138,608,0
139,68,0
140,89,NA
141,46,0
142,97,0
143,1,NA
144,61,0
145,519,0
146,123,NA
147,4,0
148,71,0
149,66,NA
150,32,0
151,4,0
152,368,0
153,19,0
154,210,0
155,74,NA
156,18,NA
157,1079,0
158,42,0
159,68,NA
160,4,0
161,10,0
162,170,0
163,234,0
164,810,0
165,46,0
166,59,0
167,2,0
168,7,NA
169,5,0
170,19,0
171,5,0
172,93,NA
173,9,0
174,32,0
175,12,NA
176,258,NA
177,39,0
178,15,0
179,33,0
180,3,0
181,34,NA
182,144,NA
183,427,0
184,40,0
185,17,0
186,10,0
187,1299,0
188,3,0
189,103,0
190,645,0
191,27,NA
192,38,0
193,667,0
194,374,0
195,438,0
196,400,0
197,7,0
198,15,0
199,10,0
200,2,NA
201,21,0
202,5,0
203,2,NA
204,3,0
205,3,0
206,167,0
207,1,0
208,7,0
209,877,0
210,545,NA
211,1,0
212,15,0
213,13,0
214,1328,0
215,34,0
216,7,0
217,9,0
218,1,0
219,20,NA
220,117,NA
221,51,0
222,241,0
223,14,0
224,78,0
225,51,NA
226,608,0
227,60,0
228,11,0
229,30,0
230,9,0
231,8,0
232,62,NA
233,15,0
234,667,0
235,169,0
236,229,NA
237,1,0
238,343,0
239,1,0
240,9,NA
241,3,NA
242,77,0
243,28,0
244,102,0
245,11,0
246,58,NA
247,27,0
248,105,NA
249,17,0
250,7,0
251,16,0
252,10,0
253,23,0
254,35,0
255,80,0
256,28,0
257,3,NA
258,110,0
259,11,0
260,2,0
261,11,NA
262,1275,0
263,55,0
264,13,NA
265,905,0
266,14,NA
267,12,0
268,441,0
269,207,0
270,69,0
271,689,0
272,40,0
273,5,0
274,1,0
275,1243,0
276,2797,0
277,39,0
278,426,0
279,92,0
280,251,0
281,1511,0
282,112,NA
283,268,0
284,503,0
285,149,NA
286,645,NA
287,104,0
288,5125,0
289,2546,0
290,1,0
291,73,0
292,416,NA
293,46,0
294,239,0
295,20,NA
296,3697,0
297,648,NA
298,15,NA
299,14,0
300,168,0
301,30,0
302,12,NA
303,9,0
304,1342,0
305,25,0
306,3,0
307,40,0
308,71,0
309,507,0
310,69,0
311,173,NA
312,1331,0
313,37,0
314,8,NA
315,376,0
316,430,0
317,15,0
318,10,0
319,6,0
320,2,0
321,793,0
322,2421,0
323,145,0
324,158,0
325,63,NA
326,163,0
327,28,0
328,270,NA
329,254,0
330,434,0
331,10,0
332,6,0
333,17,0
334,79,0
335,11,0
336,21,0
337,519,0
338,9,0
339,452,0
340,404,0
341,407,0
342,1,0
343,137,NA
344,68,NA
345,1014,0
346,106,0
347,16,0
348,17,0
349,39,NA
350,162,0
351,3,0
352,58,0
353,608,0
354,1317,0
355,4759,NA
356,58,0
357,4,0
358,244,0
359,103,0
360,9,0
361,599,0
362,4760,NA
363,1275,0
364,548,0
365,9309,0
366,151,0
367,309,0
368,61,0
369,250,NA
370,38,0
371,1,NA
372,109,NA
373,3,NA
374,139,0
375,26,0
376,3,0
377,1,0
378,50,0
379,276,0
380,236,NA
381,39,1
382,2,0
383,41,0
384,18,0
385,32,0
386,9,NA
387,1452,0
388,587,0
389,37,NA
390,50,NA
391,20,0
392,6,0
393,50,0
394,4,0
395,2,NA
396,92,NA
397,10,0
398,102,NA
399,102,0
400,112,0
401,1,0
402,94,0
403,12,NA
404,3,0
405,9,0
406,134,0
407,172,0
408,5,NA
409,7,0
410,1602,0
411,29,0
412,7,0
413,340,NA
414,49,NA
415,151,0
416,8,0
417,352,0
418,509,0
419,95,NA
420,1,0
421,38,NA
422,6,0
423,20,NA
424,40,0
425,166,0
426,2,0
427,24,0
428,18,0
429,2,0
430,249,0
431,1,0
432,205,0
433,51,0
434,2,0
435,15,0
436,49,0
437,2,0
438,58,0
439,1,NA
440,27,0
441,257,0
442,19,0
443,52,0
444,27,NA
445,241,1
446,77,0
447,2,0
448,355,0
449,31,0
450,1,0
451,6,NA
452,292,0
453,4,0
454,702,0
455,16,0
456,235,0
457,183,0
458,18,0
459,2,0
460,8,0
461,136,0
462,1032,0
463,1,NA
464,37,0
465,18,NA
466,4,0
467,15,0
468,489,NA
469,24,0
470,3,0
471,3,0
472,9,0
473,27,0
474,2,0
475,48,0
476,8,0
477,1,0
478,191,0
479,33,NA
480,3,0
481,591,0
482,46,NA
483,5,0
484,2,0
485,1,0
486,125,NA
487,14,NA
488,2,0
489,1,0
490,19,0
491,50,0
492,29,0
493,2797,0
494,5,NA
495,75,0
496,221,NA
497,3,NA
498,931,0
499,177,0
500,5,0
501,101,0
502,45,NA
503,20,NA
504,7,0
505,8,1
506,1,0
507,5,0
508,124,0
509,20,0
510,62,NA
511,5,0
512,84,0
513,288,0
514,7,0
515,42,0
516,1,0
517,1,0
518,34,0
519,20,NA
520,3,0
521,1,NA
522,51,NA
523,2,0
524,19,0
525,419,0
526,92,0
527,91,0
528,57,1
529,28,1
530,31,1
531,16,1
532,5,NA
533,8,1
534,97,1
535,382,1
536,15,1
537,2,1
538,82,NA
539,8,1
540,2421,1
541,314,1
542,220,1
543,120,1
544,586,1
545,314,1
546,25,1
547,1,1
548,21,1
549,86,0
550,5,0
551,1018,0
552,16,0
553,3,0
554,132,NA
555,1952,0
556,10,0
557,45,0
558,3,0
559,170,0
560,69,NA
561,1,0
562,116,0
563,2,NA
564,26,0
565,239,0
566,134,0
567,41,0
568,8,0
569,6,0
570,9,0
571,59,0
572,104,NA
573,11,0
574,1,0
575,333,0
576,353,0
577,4,0
578,71,0
579,249,0
580,248,0
581,45,0
582,199,0
583,1217,0
584,9,0
585,14,0
586,7,0
587,72,0
588,2,0
589,427,0
590,1,0
591,203,0
592,4,0
593,25,0
594,1818,0
595,2,0
596,3697,0
597,163,0
598,10,NA
599,9,0
600,9,0
601,37,NA
602,1,0
603,145,0
604,38,NA
605,46,0
606,39,0
607,14,NA
608,1,0
609,2,0
610,6,0
611,13,0
612,1,0
613,28,0
614,72,NA
615,18,0
616,85,0
617,1299,0
618,592,0
619,15,0
620,1275,0
621,58,0
622,8,0
623,1,0
624,16,0
625,2,NA
626,1,NA
627,200,0
628,73,NA
629,3,0
630,16,NA
631,1,0
632,8,0
633,2,NA
634,67,0
635,56,0
636,7,NA
637,6,NA
638,56,NA
639,1,NA
640,82,1
641,10,NA
642,2,1
643,6,1
644,145,NA
645,1,1
646,1,1
647,50,NA
648,21,1
649,4,1
650,42,1
651,30,1
652,28,1
653,141,1
654,74,1
655,1,1
656,73,1
657,15,1
658,1,NA
659,49,0
660,2,NA
661,179,0
662,23,0
663,170,0
664,2,0
665,7,0
666,4,0
667,182,0
668,2,0
669,29,0
670,32,0
671,24,0
672,2,0
673,25,0
674,30,0
675,17,NA
676,3,0
677,44,0
678,11,0
679,1,0
680,13,0
681,48,0
682,25,0
683,1,0
684,38,NA
685,2,0
686,31,NA
687,46,0
688,41,NA
689,1,0
690,3,0
691,12,0
692,42,0
693,12,0
694,2,0
695,1,NA
696,44,0
697,1,0
698,62,0
699,6,NA
700,205,0
701,82,0
702,1,NA
703,89,NA
704,6,0
705,2797,0
706,2377,0
707,21,0
708,28,0
709,78,0
710,118,0
711,341,0
712,180,0
713,14,NA
714,5125,0
715,75,0
716,7,0
717,54,0
718,373,NA
719,32,0
720,49,0
721,41,0
722,6,0
723,11,0
724,23,0
725,6,0
726,3,0
727,10,0
728,18,0
729,262,0
730,9,0
731,11,0
732,113,0
733,13,0
734,53,0
735,438,0
736,3,0
737,1,0
738,47,0
739,1,NA
740,34,0
741,89,0
742,46,0
743,1,NA
744,10,0
745,85,NA
746,5,0
747,102,NA
748,404,0
749,131,0
750,256,NA
751,10,0
752,220,0
753,1,NA
754,13,0
755,789,0
