,SOP_sales_organization_NA,SOP_sales_organization_A,SOP_sales_organization_B,Reseller
1,0,65,0,0
2,0,0,18,0
3,0,12,1,0
4,0,8,1,0
5,0,1,190,0
6,0,0,35,0
7,0,171,0,0
8,0,0,10,0
9,0,0,76,0
10,0,3,3,0
11,0,12,0,NA
12,0,11,378,0
13,0,0,15,0
14,0,0,5,NA
15,0,694,0,0
16,0,4,5,0
17,0,33,26,NA
18,0,39,30,0
19,0,1,111,0
20,0,0,1,0
21,0,0,1,0
22,0,11,303,0
23,0,0,16,0
24,0,0,6,NA
25,0,4,184,0
26,0,0,38,0
27,0,0,1,0
28,0,0,46,0
29,0,0,295,0
30,0,4,0,NA
31,0,18,649,0
32,0,1,0,0
33,0,13,90,NA
34,0,19,44,0
35,0,0,1,0
36,0,11,0,0
37,0,0,6,0
38,0,0,11,0
39,0,12,111,0
40,0,1993,0,0
41,0,565,0,0
42,0,13,1,0
43,0,40,0,0
44,0,1,1,0
45,0,0,141,0
46,0,17,3,0
47,0,7,137,0
48,0,0,7,NA
49,0,12,86,0
50,0,0,1,0
51,0,0,16,NA
52,0,0,210,0
53,0,4,0,0
54,0,1624,0,0
55,0,0,12,0
56,0,56,168,0
57,0,9,417,NA
58,0,14,262,0
59,0,0,35,0
60,0,223,1161,0
61,0,0,94,0
62,0,654,0,0
63,0,0,43,NA
64,0,159,0,NA
65,0,0,1342,NA
66,0,1018,0,0
67,0,0,23,0
68,0,424,0,0
69,0,26,286,0
70,0,60,0,0
71,0,0,1,0
72,0,9,83,0
73,0,8,38,NA
74,0,6,76,0
75,0,0,16,0
76,0,2,87,0
77,0,432,0,0
78,0,0,20,0
79,0,0,96,0
80,0,0,10,0
81,0,13,17,0
82,0,0,10,0
83,0,76,446,0
84,0,29,268,NA
85,0,0,72,0
86,0,113,0,NA
87,0,0,10,NA
88,0,0,35,0
89,0,11,320,0
90,0,0,38,0
91,0,32,0,0
92,0,432,0,0
93,0,0,110,0
94,0,9,0,NA
95,0,0,8,0
96,0,120,8561,0
97,0,4,49,NA
98,0,0,27,0
99,0,0,179,0
100,0,0,1,0
101,0,75,0,NA
102,0,4,551,0
103,0,7,137,0
104,0,11,2646,0
105,0,0,1,0
106,0,49,2251,0
107,0,4,9,NA
108,0,3,0,0
109,0,0,11,0
110,0,5,47,0
111,0,212,1839,0
112,0,13,53,0
113,0,2,183,0
114,0,52,637,0
115,0,5,52,0
116,0,0,6,0
117,0,1,1010,0
118,0,1241,0,0
119,0,292,0,0
120,0,0,97,NA
121,0,10,180,NA
122,0,0,428,0
123,0,2094,0,NA
124,0,3,289,0
125,0,29,0,0
126,0,5,77,0
127,0,9,0,NA
128,0,4,44,0
129,0,80,2717,0
130,0,0,3,0
131,0,36,1785,0
132,0,1,31,0
133,0,0,2,0
134,0,3,4,0
135,0,563,0,0
136,0,8,212,0
137,0,31,903,NA
138,0,48,560,0
139,0,3,65,0
140,0,4,85,NA
141,0,78,532,0
142,0,16,81,0
143,0,0,1,NA
144,0,4,57,0
145,0,19,500,0
146,0,5,118,NA
147,0,0,4,0
148,0,0,71,0
149,0,0,179,NA
150,0,25,1010,0
151,0,1,3,0
152,0,113,0,0
153,0,0,19,0
154,0,4,206,0
155,0,0,74,NA
156,0,18,0,NA
157,0,21,1058,0
158,0,40,2,0
159,0,0,68,NA
160,0,0,4,0
161,0,10,0,0
162,0,22,148,0
163,0,11,223,0
164,0,30,780,0
165,0,0,46,0
166,0,0,59,0
167,0,0,2,0
168,0,0,35,NA
169,0,5,0,0
170,0,4,15,0
171,0,0,5,0
172,0,5,88,NA
173,0,0,9,0
174,0,0,32,0
175,0,12,0,NA
176,0,0,258,NA
177,0,10,29,0
178,0,0,15,0
179,0,0,33,0
180,0,2,1,0
181,0,1,33,NA
182,0,0,5,NA
183,0,8,419,0
184,0,0,40,0
185,0,18,0,0
186,0,0,10,0
187,0,18,1281,0
188,0,0,3,0
189,0,10,93,0
190,0,8,637,0
191,0,9,18,NA
192,0,4,34,0
193,0,7855,0,0
194,0,374,0,0
195,0,4,434,0
196,0,0,400,0
197,0,7,0,0
198,0,0,15,0
199,0,0,10,0
200,0,0,2,NA
201,0,6,15,0
202,0,1,4,0
203,0,0,2,NA
204,0,0,15,0
205,0,0,3,0
206,0,157,10,0
207,0,0,1,0
208,0,0,7,0
209,0,22,855,0
210,0,0,295,NA
211,0,0,1,0
212,0,13,2,0
213,0,4,9,0
214,0,424,904,0
215,0,0,34,0
216,0,5,2,0
217,0,8,1145,0
218,0,0,1,0
219,0,20,0,NA
220,0,22,95,NA
221,0,4,47,0
222,0,11,230,0
223,0,14,0,0
224,0,8,70,0
225,0,0,51,NA
226,0,6177,0,0
227,0,0,60,0
228,0,0,11,0
229,0,0,30,0
230,0,9,0,0
231,0,8,0,0
232,0,2,60,NA
233,0,13,2,0
234,0,0,488,0
235,0,14,262,0
236,0,0,229,NA
237,0,0,1,0
238,0,14,329,0
239,0,0,1,0
240,0,32,0,NA
241,0,2,1,NA
242,0,0,77,0
243,0,8,20,0
244,0,102,0,0
245,0,0,11,0
246,0,12,46,NA
247,0,0,27,0
248,0,8,97,NA
249,0,17,0,0
250,0,0,7,0
251,0,1,15,0
252,0,7,3,0
253,0,7,16,0
254,0,0,35,0
255,0,0,80,0
256,0,0,28,0
257,0,0,3,NA
258,0,13,322,0
259,0,11,0,0
260,0,0,2,0
261,0,10,1,NA
262,0,1275,0,0
263,0,42,13,0
264,0,0,38,NA
265,0,905,0,0
266,0,0,14,NA
267,0,0,12,0
268,0,5,436,0
269,0,178,29,0
270,0,66,3,0
271,0,14,340,0
272,0,36,1785,0
273,0,0,28,0
274,0,1,0,0
275,0,96,1147,0
276,0,7,291,0
277,0,1,38,0
278,0,265,0,0
279,0,52,40,0
280,0,1624,0,0
281,0,3,1508,0
282,0,2,110,NA
283,0,6518,0,0
284,0,6,497,0
285,0,15,134,NA
286,0,1,111,NA
287,0,14,90,0
288,0,106,5019,0
289,0,21,2525,0
290,0,0,1,0
291,0,0,73,0
292,0,416,0,NA
293,0,46,0,0
294,0,37,202,0
295,0,0,20,NA
296,0,3697,0,0
297,0,20,628,NA
298,0,2449,0,NA
299,0,5,527,0
300,0,0,7,0
301,0,9,731,0
302,0,0,12,NA
303,0,8,1,0
304,0,18,2418,0
305,0,0,25,0
306,0,0,3,0
307,0,40,0,0
308,0,71,0,0
309,0,5,2,0
310,0,22,47,0
311,0,2,171,NA
312,0,1331,0,0
313,0,4,33,0
314,0,0,8,NA
315,0,37,202,0
316,0,0,430,0
317,0,0,15,0
318,0,9,0,0
319,0,5,1,0
320,0,576,0,0
321,0,793,0,0
322,0,101,2320,0
323,0,0,145,0
324,0,19,139,0
325,0,0,63,NA
