,Sales_Order,STP_Ratio,STP_diff_Ratio,Reseller
1,2,0,0,0
2,11,0.0149253731343284,0,0
3,7,1,0,0
4,2,1,0,0
5,57,0.113475177304965,0.0625,0
6,14,0.25,0,0
7,29,0,0,0
8,4,1,0,0
9,9,0.153846153846154,0,0
10,5,0.110091743119266,0,0
11,6,1,0,NA
12,79,0.647058823529412,0,0
13,9,0.0294117647058824,0,0
14,2,1,0,NA
15,60,0.25,0,0
16,4,0.486486486486487,0,0
17,13,1,0,NA
18,49,0.037037037037037,0,0
19,25,0.888888888888889,0,0
20,1,0.027027027027027,0,0
21,1,0.108087091757387,0,0
22,89,0.857142857142857,0,0
23,5,1,0,0
24,1,1,0.2,NA
25,80,0.3,0,0
26,12,0.995753715498938,0,0
27,1,1,0,0
28,8,0.0731707317073171,0,0
29,64,1,0,0
30,3,1,0,NA
31,53,1,0,0
32,1,0,0,0
33,22,1,0,NA
34,28,0.0740740740740741,0,0
35,1,1,0,0
36,2,0.285714285714286,0,0
37,3,0.012987012987013,0,0
38,3,0,0,0
39,108,0.0625,0,0
40,211,0.0625,0,0
41,24,0.0307017543859649,0,0
42,7,0.125,0,0
43,6,0.0441176470588235,0,0
44,2,1,0,0
45,39,0.521739130434783,0,0
46,13,0.0704225352112676,0,0
47,38,0.075,0,0
48,6,0.04,0,NA
49,45,0,0,0
50,1,0.133333333333333,0,0
51,5,1,0,NA
52,177,1,0,0
53,4,1,0,0
54,163,0,0,0
55,4,0.376068376068376,0,0
56,71,0,0,0
57,74,1,0,NA
58,53,1,0,0
59,12,0.0517241379310345,0,0
60,313,1,0,0
61,38,0.0344827586206897,0,0
62,83,1,0,0
63,9,1,0,NA
64,38,0.0454545454545455,0,NA
65,121,0,0,NA
66,119,1,0,0
67,12,0,0,0
68,27,1,0.111111111111111,0
69,63,0.181818181818182,0,0
70,15,0.117647058823529,0,0
71,1,0,0,0
72,16,0,0,0
73,22,1,0,NA
74,61,1,0,0
75,1,0,0,0
76,7,0.1280353200883,0.0172413793103448,0
77,25,1,0,0
78,6,1,0,0
79,29,1,0,0
80,2,1,0,0
81,13,0.5,0,0
82,4,1,0,0
83,87,0.0150753768844221,0.166666666666667,0
84,48,1,0,NA
85,25,1,0,0
86,23,0.25,0,NA
87,2,0,0,NA
88,12,0.0517241379310345,0,0
89,34,0,0,0
90,12,0.995753715498938,0,0
91,14,1,0,0
92,25,1,0,0
93,16,0.666666666666667,0,0
94,6,0.115384615384615,0,NA
95,8,1,0,0
96,753,0.166666666666667,0,0
97,11,0.008,0,NA
98,13,1,0,0
99,44,0.625,0,0
100,1,1,0,0
101,10,0.0280373831775701,0,NA
102,50,0.166666666666667,0,0
103,38,0.075,0,0
104,250,1,0,0
105,1,0.05,0,0
106,121,1,0,0
107,6,1,0,NA
108,1,1,0,0
109,4,0,0,0
110,8,0.0344827586206897,0,0
111,253,1,0,0
112,17,0.125,0,0
113,21,0.0933333333333333,0,0
114,122,0.954545454545455,0,0
115,23,0.1,0,0
116,1,0.0555555555555556,0,0
117,115,0.00199203187250996,0,0
118,64,1,0,0
119,36,0.319444444444444,0,0
120,15,0.622119815668203,0,NA
121,48,0.00609756097560976,0,NA
122,51,0.444444444444444,0,0
123,110,0.04,0,NA
124,21,0.0154639175257732,0,0
125,15,1,0,0
126,41,1,0,0
127,2,0,0,NA
128,13,0,0,0
129,382,1,0,0
130,3,1,0,0
131,250,0.272727272727273,0,0
132,24,0.928571428571429,0,0
133,2,0.1,0,0
134,5,0.143236074270557,0,0
135,83,1,0,0
136,68,0.178571428571429,0,0
137,106,1,0,NA
138,139,0.727272727272727,0,0
139,22,1,0,0
140,38,1,0,NA
141,129,0.4,0,0
142,24,0.078125,0,0
143,1,0,0,NA
144,25,0.0394736842105263,0,0
145,87,0.304761904761905,0,0
146,13,1,0,NA
147,2,1,0,0
148,19,1,0,0
149,44,0.625,0,NA
150,59,0.166666666666667,0,0
151,3,0,0,0
152,23,0.25,0,0
153,8,1,0,0
154,24,0.0298507462686567,0,0
155,2,1,0,NA
156,18,0.242424242424242,0,NA
157,108,1,0.25,0
158,5,1,0,0
159,40,0.0242424242424242,0,NA
160,1,1,0,0
161,4,0.0175054704595186,0,0
162,67,1,0,0
163,50,1,0.0555555555555556,0
164,244,0.05,0,0
165,7,0,0,0
166,4,0.0211132437619962,0,0
167,2,0.264957264957265,0,0
168,14,0.25,0,NA
169,2,0.173913043478261,0,0
170,2,0.833333333333333,0,0
171,1,1,0,0
172,19,0.107142857142857,0,NA
173,4,0,0,0
174,5,1,0,0
175,2,1,0,NA
176,70,1,0,NA
177,11,0,0,0
178,4,0,0,0
179,4,1,0,0
180,3,0.2,0,0
181,9,1,0,NA
182,2,1,0,NA
183,65,1,0,0
184,5,1,0,0
185,18,0.242424242424242,0,0
186,1,1,0,0
187,61,0.454545454545455,0,0
188,3,0.324324324324324,0,0
189,25,0.140350877192982,0,0
190,58,0.0769230769230769,0,0
191,11,1,0,NA
192,8,0.19047619047619,0,0
193,660,1,0,0
194,37,0.141509433962264,0,0
195,46,1,0,0
196,7,0.5,0,0
197,3,1,0,0
198,4,0.0847457627118644,0,0
199,10,0.333333333333333,0,0
200,2,0.00980392156862745,0,NA
201,7,1,0,0
202,3,0.0104166666666667,0,0
203,1,1,0,NA
204,4,0,0,0
205,3,1,0,0
206,9,1,0,0
207,1,0,0,0
208,1,0.0889252591380251,0,0
209,68,1,0,0
210,64,1,0,NA
211,1,1,0,0
212,4,0.0465116279069767,0,0
213,3,0.166666666666667,0,0
214,189,1,0,0
215,1,1,0,0
216,2,0.0540540540540541,0,0
217,65,0,0,0
218,1,0,0,0
219,1,1,0,NA
220,35,0.130434782608696,0,NA
221,20,1,0,0
222,20,0.9,0,0
223,6,0,0,0
224,23,1,0,0
225,16,0.666666666666667,0,NA
226,378,0.125,0,0
227,17,0.5625,0,0
228,6,1,0,0
229,6,0.25,0,0
230,2,1,0,0
